15 3040  -0.0252 1e-05 0  0.04480000000000001 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02488000000000001 1e-05 0  0.04511999999999999 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02456000000000001 1e-05 0  0.04543999999999999 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02424000000000001 1e-05 0  0.04576 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02392000000000001 1e-05 0  0.04608 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02360000000000001 1e-05 0  0.0464 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02328000000000001 1e-05 0  0.04672 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02296000000000001 1e-05 0  0.04704 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3240  -0.02264000000000001 1e-05 0  0.04736 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02232000000000001 1e-05 0  0.04768 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02200000000000001 1e-05 0  0.048 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02168 1e-05 0  0.04832 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02136 1e-05 0  0.04864 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02104 1e-05 0  0.04896 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02072000000000001 1e-05 0  0.04928 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02040000000000001 1e-05 0  0.0496 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.02008000000000001 1e-05 0  0.04992 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.01976000000000001 1e-05 0  0.05024 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.01944000000000001 1e-05 0  0.05056 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.01912000000000001 1e-05 0  0.05088 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.0188 1e-05 0  0.0512 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.01848 1e-05 0  0.05152 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.01816 1e-05 0  0.05184 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.01784 1e-05 0  0.05216 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3240  -0.01752 1e-05 0  0.05248000000000001 0 0   -0.004012358265112148 0.06114815050484967 0  
